id,type,date,value,category,description,payment_method,status,equipment_id,contract_id,created_at,reference,is_fixed,sector,fixed_duration_months,installment_number,installment_total,cost_center_id,debit_amount,debit_description,has_debit
668ab197-7e64-4e0a-8f10-adf78e7b7b25,DESPESA,2026-06-01,12000.00,terceirizados,Locação Caçamba 03,,CONFIRMADO,,,2025-12-03 16:18:26.434016+00,,false,particular,,9,,cabralia,0.00,,false
669c425d-29c6-4909-9521-7451d1bc910d,DESPESA,2025-12-01,42535.52,terceirizados,Locação Prancha Ronaldo/Sid,,CONFIRMADO,,,2025-12-03 16:18:17.246318+00,"__DEBIT__:{""amount"":3581,""description"":""Operador""}",false,ronaldo,,3,,cabralia,0.00,,false
66cb8e15-aea2-455f-99f6-f46aa84b9468,DESPESA,2026-09-01,10000.00,equipamentos,Locação Bobcat,,CONFIRMADO,4bc7e9b9-0f0a-48c2-b7e3-bcc3ce8d342d,,2025-12-03 16:18:08.317149+00,,false,now,,12,,cabralia,0.00,,false
6712bd51-657d-4095-8a0f-6cb551230e5f,DESPESA,2026-03-01,12000.00,terceirizados,Locação Caçamba 03,,CONFIRMADO,,,2025-12-03 16:18:26.211781+00,,false,particular,,6,,cabralia,0.00,,false
68a1f199-9a33-4cf8-aa66-0494e944f692,DESPESA,2026-06-01,15000.00,terceirizados,Locação Baú,,CONFIRMADO,,,2025-12-03 16:18:28.386614+00,,false,gestao,,9,,cabralia,0.00,,false
6908e4a5-346d-4c38-951e-db4c542c5eef,DESPESA,2026-05-01,22000.00,equipamentos,Locação Pá Carregadeira,,CONFIRMADO,c4ffceac-4dd7-4951-b478-6cb7f143416f,,2025-12-04 09:18:29.133121+00,,false,now,,8,,cabralia,0.00,,false
6a6fcf0b-c0a3-46b2-910a-eee37bca7975,DESPESA,2026-04-01,12000.00,terceirizados,Locação Caçamba 04,,CONFIRMADO,,,2025-12-03 16:18:27.228067+00,,false,particular,,7,,cabralia,0.00,,false
6b6228f1-dbc5-49ca-90e3-b5272bfa12aa,DESPESA,2026-06-01,3581.66,funcionario,Salário Operador Rolo Compactador,,CONFIRMADO,dd39670a-04b3-4853-babc-1867e29fd5cd,,2025-12-03 16:18:21.898221+00,,false,now,,9,,cabralia,0.00,,false
6c86cc05-5ba4-4519-90a6-9e91fd862023,DESPESA,2025-10-01,3581.66,terceirizados,Salário Operador Prancha Ronaldo/Sid,,CONFIRMADO,,,2025-12-03 01:32:50.147184+00,,true,terceirizados,12,1,,cabralia,0.00,,false
6cf4d459-afa6-45a9-9215-e7f40a7bfaaa,DESPESA,2025-12-01,-24287.61,terceirizados,Imposto Ronaldo/Sid,,CONFIRMADO,,,2025-12-03 16:18:36.426655+00,"__DEBIT__:{""amount"":24287.61,""description"":""Imposto Ronaldo/Sid""}",false,ronaldo,,3,,cabralia,0.00,,false
6d203630-e06c-4c0c-94a4-5787f2aa391f,DESPESA,2026-02-01,21000.00,terceirizados,Locação Retroescavadeira Felipe,,CONFIRMADO,,,2025-12-03 16:18:08.800959+00,,false,felipe_viatransportes,,5,,cabralia,0.00,,false
6d2496a8-3dc3-4e44-907c-f4d18f263873,DESPESA,2026-07-01,21000.00,terceirizados,Locação Caçamba 02 Felipe,,CONFIRMADO,,,2025-12-03 16:18:13.210393+00,,false,felipe_viatransportes,,10,,cabralia,0.00,,false
6d764bfd-3163-41fb-8a7c-a76c7fb12741,DESPESA,2026-06-01,14000.00,terceirizados,Locação Poliguindaste Felipe,,CONFIRMADO,,,2025-12-03 16:18:14.964655+00,,false,felipe_viatransportes,,9,,cabralia,0.00,,false
6e91f91d-4242-42da-80a3-d5a0764d9301,DESPESA,2025-10-01,21000.00,terceirizados,Locação Caçamba 01 Felipe,,CONFIRMADO,,,2025-12-02 17:20:32.416638+00,,true,felipe_viatransportes,12,,,cabralia,0.00,,false
6ee196dd-db97-4747-aeca-1595f6dbe540,DESPESA,2026-06-01,30000.00,equipamentos,Locação Motoniveladora,,CONFIRMADO,514b7ed1-6ebb-42bf-912b-fd2bfa8abdad,,2025-12-03 16:18:05.220803+00,,false,now,,9,,cabralia,0.00,,false
6f870c36-8c24-427a-a1cf-b2c4a9fddedf,DESPESA,2026-02-01,2000.00,funcionario,Salário Encarregado,,CONFIRMADO,,,2025-12-03 16:18:33.787541+00,,false,now,,5,,cabralia,0.00,,false
6f8cfac3-a45d-417d-a042-f5c8cedd8720,DESPESA,2025-11-01,10000.00,terceirizados,Locação Pá Carregadeira,,CONFIRMADO,,,2025-12-03 18:11:30.491206+00,,false,gestao,,2,,cabralia,0.00,,false
703392b8-3bb8-4456-bb6c-cd3f10977e3b,DESPESA,2026-05-01,2000.00,funcionario,Salário Encarregado,,CONFIRMADO,,,2025-12-03 16:18:34.007498+00,,false,now,,8,,cabralia,0.00,,false
7068e3c5-fe2a-43f2-985f-2da36f20e798,DESPESA,2025-11-01,5500.00,gestor,Salário Gestor,,CONFIRMADO,,,2025-12-03 23:12:57.188759+00,,false,now,,2,,cabralia,0.00,,false
70fe067d-db24-4b68-ad73-a1f26c4e47a0,DESPESA,2026-09-01,3256.00,funcionario,Salário Operador Bobcat,,CONFIRMADO,4bc7e9b9-0f0a-48c2-b7e3-bcc3ce8d342d,,2025-12-03 16:18:23.910501+00,,false,now,,12,,cabralia,0.00,,false
71d3d1f3-6b0f-4bf1-9f2d-f7958f60beeb,DESPESA,2026-07-01,131924.60,impostos,Imposto Now,,CONFIRMADO,,,2025-12-03 16:46:33.141498+00,,false,imposto,,10,,cabralia,0.00,,false
72c34a57-8195-4858-81c2-4d6162f286e4,DESPESA,2026-07-01,12000.00,terceirizados,Locação Caçamba 04,,CONFIRMADO,,,2025-12-03 16:18:27.479781+00,,false,particular,,10,,cabralia,0.00,,false
735faf23-42e6-4ef7-b7da-d3240cb581ea,DESPESA,2025-10-01,12000.00,terceirizados,Locação Caçamba 04,,CONFIRMADO,,,2025-12-03 01:27:12.091186+00,,true,particular,12,,,cabralia,0.00,,false
738e51b1-a29e-46a2-87f4-ed984d5fba47,DESPESA,2026-05-01,5500.00,gestor,Salário Gestor,,CONFIRMADO,,,2025-12-03 23:12:58.593003+00,,false,now,,8,,cabralia,0.00,,false
7390237d-6f80-43bb-8c40-2c039f6c5c93,DESPESA,2025-11-01,21000.00,terceirizados,Locação Pipa Felipe,,CONFIRMADO,,,2025-12-03 16:18:10.596761+00,,false,felipe_viatransportes,,2,,cabralia,0.00,,false
742812a9-6e98-4d3b-8477-e7f9be736f2d,DESPESA,2026-08-01,12000.00,terceirizados,Locação Caçamba 04,,CONFIRMADO,,,2025-12-03 16:18:27.566384+00,,false,particular,,11,,cabralia,0.00,,false
743b66d3-b42a-4450-84e5-fb21b00728b2,DESPESA,2025-10-01,22000.00,equipamentos,Locação Rolo Compactador,,CONFIRMADO,dd39670a-04b3-4853-babc-1867e29fd5cd,,2025-12-02 16:51:39.968762+00,,true,now,12,,,cabralia,0.00,,false
74800f7b-f247-4de4-8086-ff683ba370aa,DESPESA,2026-03-01,10692.12,terceirizados,Locação Estacionárias Ronaldo/Sid,,CONFIRMADO,,,2025-12-03 16:18:18.388203+00,,false,ronaldo,,6,,cabralia,0.00,,false
75f0ed30-a7bf-4ee9-a3bd-aa053fc5d399,DESPESA,2025-12-01,30000.00,equipamentos,Locação Motoniveladora,,CONFIRMADO,514b7ed1-6ebb-42bf-912b-fd2bfa8abdad,,2025-12-03 16:18:04.714246+00,,false,now,,3,,cabralia,0.00,,false
76916a10-9be7-4bdd-90f5-31b643c1b207,DESPESA,2026-05-01,45986.44,terceirizados,Locação Motoniveladora Ronaldo/Sid,,CONFIRMADO,,,2025-12-03 16:18:16.71394+00,"__DEBIT__:{""amount"":5315,""description"":""Operador""}",false,ronaldo,,8,,cabralia,0.00,,false
7771155f-6614-4194-97d8-c1bedf174fd8,DESPESA,2025-12-01,5500.00,gestor,Salário Gestor,,CONFIRMADO,,,2025-12-03 23:12:57.461617+00,,false,now,,3,,cabralia,0.00,,false
